Time, consumer_reader_ch1, consumer_reader_ch2, producer_writer_ch1, producer_writer_ch2
52.2789, 37081, -1334181888, 37081, -1334181888
52.3127, 37081, -1334181888, 37081, -1334181888
52.3414, 37081, -1334181888, 37081, -1334181888
52.3788, 37081, -1334181888, 37081, -1334181888
52.3887, 37081, -1334181888, 37081, -1334181888
52.4145, 37081, -1334181888, 37081, -1334181888
52.6159, 37081, -1334181888, 37081, -1334181888
52.7205, 37081, -1334181888, 37081, -1334181888
52.7322, 37081, -1334181888, 37081, -1334181888
52.7601, 37081, -1334181888, 37081, -1334181888
52.7686, 37081, -1334181888, 37081, -1334181888
52.7991, 37081, -1334181888, 37081, -1334181888
52.8105, 37081, -1334181888, 37081, -1334181888
52.8353, 37081, -1334181888, 37081, -1334181888
53.6678, 37081, -1334181888, 37081, -1334181888
53.6995, 37081, -1334181888, 37081, -1334181888
53.7114, 37081, -1334181888, 37081, -1334181888
53.7451, 37081, -1334181888, 37081, -1334181888
53.7749, 37081, -1334181888, 37081, -1334181888
53.8431, 37081, -1334181888, 37081, -1334181888
53.8526, 37081, -1334181888, 37081, -1334181888
53.8781, 37081, -1334181888, 37081, -1334181888
54.6875, 37081, -1334181888, 37081, -1334181888
54.7628, 37081, -1334181888, 37081, -1334181888
54.7751, 37081, -1334181888, 37081, -1334181888
54.8028, 37081, -1334181888, 37081, -1334181888
54.8098, 37081, -1334181888, 37081, -1334181888
54.8421, 37081, -1334181888, 37081, -1334181888
54.8536, 37081, -1334181888, 37081, -1334181888
54.8790, 37081, -1334181888, 37081, -1334181888
55.6221, 37081, -1334181888, 37081, -1334181888
55.6510, 37081, -1334181888, 37081, -1334181888
55.6625, 37081, -1334181888, 37081, -1334181888
55.6966, 37081, -1334181888, 37081, -1334181888
55.7281, 37081, -1334181888, 37081, -1334181888
55.7664, 37081, -1334181888, 37081, -1334181888
55.7796, 37081, -1334181888, 37081, -1334181888
55.8048, 37081, -1334181888, 37081, -1334181888
56.7679, 37081, -1334181888, 37081, -1334181888
56.7954, 37081, -1334181888, 37081, -1334181888
56.8069, 37081, -1334181888, 37081, -1334181888
56.8408, 37081, -1334181888, 37081, -1334181888
56.8705, 37081, -1334181888, 37081, -1334181888
56.9525, 37081, -1334181888, 37081, -1334181888
56.9617, 37081, -1334181888, 37081, -1334181888
56.9866, 37081, -1334181888, 37081, -1334181888
57.7810, 37081, -1334181888, 37081, -1334181888
57.8962, 37081, -1334181888, 37081, -1334181888
57.9077, 37081, -1334181888, 37081, -1334181888
57.9365, 37081, -1334181888, 37081, -1334181888
57.9448, 37081, -1334181888, 37081, -1334181888
57.9740, 37081, -1334181888, 37081, -1334181888
57.9853, 37081, -1334181888, 37081, -1334181888
58.0116, 37081, -1334181888, 37081, -1334181888
58.7253, 37081, -1334181888, 37081, -1334181888
58.7546, 37081, -1334181888, 37081, -1334181888
58.7664, 37081, -1334181888, 37081, -1334181888
58.7953, 37081, -1334181888, 37081, -1334181888
58.8131, 37081, -1334181888, 37081, -1334181888
58.8523, 37081, -1334181888, 37081, -1334181888
58.8618, 37081, -1334181888, 37081, -1334181888
58.8873, 37081, -1334181888, 37081, -1334181888
59.6813, 37081, -1334181888, 37081, -1334181888
59.7073, 37081, -1334181888, 37081, -1334181888
59.7193, 37081, -1334181888, 37081, -1334181888
59.7504, 37081, -1334181888, 37081, -1334181888
59.7660, 37081, -1334181888, 37081, -1334181888
59.8033, 37081, -1334181888, 37081, -1334181888
59.8127, 37081, -1334181888, 37081, -1334181888
59.8404, 37081, -1334181888, 37081, -1334181888
61.0114, 37081, -1334181888, 37081, -1334181888
61.0304, 37081, -1334181888, 37081, -1334181888
61.0425, 37081, -1334181888, 37081, -1334181888
61.0762, 37081, -1334181888, 37081, -1334181888
61.1032, 37081, -1334181888, 37081, -1334181888
61.1420, 37081, -1334181888, 37081, -1334181888
61.1531, 37081, -1334181888, 37081, -1334181888
61.1929, 37081, -1334181888, 37081, -1334181888
61.6144, 37081, -1334181888, 37081, -1334181888
61.6889, 37081, -1334181888, 37081, -1334181888
61.7007, 37081, -1334181888, 37081, -1334181888
61.7277, 37081, -1334181888, 37081, -1334181888
61.7354, 37081, -1334181888, 37081, -1334181888
61.7660, 37081, -1334181888, 37081, -1334181888
61.7784, 37081, -1334181888, 37081, -1334181888
61.8031, 37081, -1334181888, 37081, -1334181888
62.6012, 37081, -1334181888, 37081, -1334181888
62.6770, 37081, -1334181888, 37081, -1334181888
62.6889, 37081, -1334181888, 37081, -1334181888
62.7162, 37081, -1334181888, 37081, -1334181888
62.7240, 37081, -1334181888, 37081, -1334181888
62.7549, 37081, -1334181888, 37081, -1334181888
62.7662, 37081, -1334181888, 37081, -1334181888
62.7909, 37081, -1334181888, 37081, -1334181888
64.1512, 37081, -1334181888, 37081, -1334181888
64.2547, 37081, -1334181888, 37081, -1334181888
64.2658, 37081, -1334181888, 37081, -1334181888
64.2942, 37081, -1334181888, 37081, -1334181888
64.3019, 37081, -1334181888, 37081, -1334181888
64.3523, 37081, -1334181888, 37081, -1334181888
64.3624, 37081, -1334181888, 37081, -1334181888
64.3753, 37081, -1334181888, 37081, -1334181888
64.8301, 37081, -1334181888, 37081, -1334181888
64.8544, 37081, -1334181888, 37081, -1334181888
64.8652, 37081, -1334181888, 37081, -1334181888
64.8991, 37081, -1334181888, 37081, -1334181888
64.9244, 37081, -1334181888, 37081, -1334181888
64.9620, 37081, -1334181888, 37081, -1334181888
64.9726, 37081, -1334181888, 37081, -1334181888
64.9978, 37081, -1334181888, 37081, -1334181888
66.1194, 37081, -1334181888, 37081, -1334181888
66.2043, 37081, -1334181888, 37081, -1334181888
66.2161, 37081, -1334181888, 37081, -1334181888
66.2426, 37081, -1334181888, 37081, -1334181888
66.2506, 37081, -1334181888, 37081, -1334181888
66.2804, 37081, -1334181888, 37081, -1334181888
66.2912, 37081, -1334181888, 37081, -1334181888
66.3175, 37081, -1334181888, 37081, -1334181888
66.6545, 37081, -1334181888, 37081, -1334181888
66.6712, 37081, -1334181888, 37081, -1334181888
66.6830, 37081, -1334181888, 37081, -1334181888
66.7258, 37081, -1334181888, 37081, -1334181888
66.7536, 37081, -1334181888, 37081, -1334181888
66.7929, 37081, -1334181888, 37081, -1334181888
66.8046, 37081, -1334181888, 37081, -1334181888
66.8318, 37081, -1334181888, 37081, -1334181888
68.0281, 37081, -1334181888, 37081, -1334181888
68.1104, 37081, -1334181888, 37081, -1334181888
68.1223, 37081, -1334181888, 37081, -1334181888
68.1497, 37081, -1334181888, 37081, -1334181888
68.1607, 37081, -1334181888, 37081, -1334181888
68.1895, 37081, -1334181888, 37081, -1334181888
68.2015, 37081, -1334181888, 37081, -1334181888
68.2433, 37081, -1334181888, 37081, -1334181888
69.0189, 37081, -1334181888, 37081, -1334181888
69.0439, 37081, -1334181888, 37081, -1334181888
69.0580, 37081, -1334181888, 37081, -1334181888
69.0980, 37081, -1334181888, 37081, -1334181888
69.1293, 37081, -1334181888, 37081, -1334181888
69.1764, 37081, -1334181888, 37081, -1334181888
69.1852, 37081, -1334181888, 37081, -1334181888
69.2011, 37081, -1334181888, 37081, -1334181888
69.9729, 37081, -1334181888, 37081, -1334181888
70.0983, 37081, -1334181888, 37081, -1334181888
70.1103, 37081, -1334181888, 37081, -1334181888
70.1404, 37081, -1334181888, 37081, -1334181888
70.1503, 37081, -1334181888, 37081, -1334181888
70.1794, 37081, -1334181888, 37081, -1334181888
